,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Krul,1,8,8,6,2,1,4,3,7,9,5,9,1,3,1,9,6,9,9,8,1,7,7,2,7,5,8,4,4,4,1,8,5,5,8,1,1,4
Austin,9,2,4,3,5,7,6,1,3,6,2,6,5,1,5,8,8,1,9,2,4,4,9,9,5,5,8,9,2,6,3,3,8,4,9,3,7,4
Tete,6,3,3,9,8,7,3,4,5,8,4,6,3,9,6,4,3,6,7,5,9,3,6,5,3,8,6,3,4,2,8,7,5,9,4,8,9,4
Kilman,8,5,7,1,6,3,8,3,5,9,1,9,5,3,5,1,8,1,6,4,7,5,9,8,3,7,9,9,7,2,1,6,4,4,5,4,4,2
Potts,8,2,3,4,4,4,6,8,9,3,3,2,9,2,8,3,4,5,4,5,1,2,9,2,6,6,6,3,5,1,9,9,1,4,6,4,4,8
Burke,5,1,7,9,5,6,3,5,4,8,4,1,1,7,6,7,5,6,4,7,6,9,5,2,3,6,1,3,9,2,4,2,8,1,6,8,4,7
Saliba,6,7,7,5,3,7,3,3,3,4,2,8,6,5,4,4,2,3,4,3,4,5,7,5,4,8,1,2,1,1,8,6,4,3,9,3,9,9
Salah,8,9,8,3,5,2,7,1,1,5,6,9,4,8,7,4,3,5,8,8,1,8,1,8,5,6,7,4,8,6,1,9,7,1,8,5,1,2
Rice,6,1,1,3,7,1,1,3,2,6,8,1,1,7,9,1,4,7,8,2,1,6,9,1,2,2,1,7,5,9,4,9,8,3,8,1,9,3
Rodrigo,1,6,5,3,6,9,7,8,8,5,2,5,4,6,1,1,7,2,4,2,3,2,3,2,2,7,6,2,6,1,6,6,5,4,4,3,6,3
Isak,7,7,3,5,8,6,5,2,2,2,9,4,5,8,9,6,6,8,3,7,9,7,9,1,5,9,8,2,3,6,4,2,9,6,8,8,2,1
Haaland,7,6,4,7,6,5,7,9,2,6,1,7,1,5,4,6,2,9,8,1,9,2,3,7,3,6,1,4,9,8,1,9,5,5,5,3,2,2
Foster,9,1,8,9,2,7,1,3,6,5,3,3,2,6,8,6,2,6,7,1,9,6,3,3,4,9,1,6,6,6,9,3,9,3,8,3,2,2
Son,2,3,2,8,3,7,8,8,2,1,1,5,6,4,4,5,3,6,4,9,3,4,4,9,3,2,1,1,3,2,1,8,5,9,3,7,6,5
Raúl,2,2,2,9,3,8,8,1,2,1,4,1,2,6,6,1,4,3,6,1,1,5,1,3,2,5,8,8,6,6,4,9,3,2,3,5,3,2
