web_name,element_type,team_code_code,team_code_code,name
Balogun,4,3,1.0,Arsenal
Cédric,2,3,2.0,Aston Villa
M.Elneny,3,3,3.0,Bournemouth
Fábio Vieira,3,3,4.0,Brentford
Gabriel,2,3,5.0,Brighton
Havertz,3,3,6.0,Burnley
G.Jesus,4,3,7.0,Chelsea
Jorginho,3,3,8.0,Crystal Palace
Kiwior,2,3,9.0,Everton
Marquinhos,3,3,10.0,Fulham
Martinelli,3,3,11.0,Liverpool
Nketiah,4,3,12.0,Luton
Ødegaard,3,3,13.0,Man City
Thomas,3,3,14.0,Man Utd
Pepe,3,3,15.0,Newcastle
Ramsdale,1,3,16.0,Nott'm Forest
Rúnarsson,1,3,17.0,Sheffield Utd
Saka,3,3,18.0,Spurs
Saliba,2,3,19.0,West Ham
Smith Rowe,3,3,20.0,Wolves
Tierney,2,3,,
Tomiyasu,2,3,,
Trossard,3,3,,
White,2,3,,
Xhaka,3,3,,
Zinchenko,2,3,,
Raya,1,3,,
Rice,3,3,,
Nelson,3,3,,
J.Timber,2,3,,
Hein,1,3,,
Sagoe,3,3,,
Walters,2,3,,
Ibrahim,3,3,,
Lewis-Skelly,3,3,,
Nwaneri,3,3,,
Bandeira,3,3,,
Sweet,2,3,,
Alex Moreno,2,7,,
Bailey,3,7,,
Buendia,3,7,,
Cash,2,7,,
Chambers,2,7,,
Coutinho,3,7,,
Davis,4,7,,
Dendoncker,3,7,,
Diego Carlos,2,7,,
Digne,2,7,,
Douglas Luiz,3,7,,
Duran,4,7,,
Hause,2,7,,
Iroegbunam,3,7,,
Kamara,3,7,,
Konsa,2,7,,
Martinez,1,7,,
McGinn,3,7,,
Mings,2,7,,
Olsen,1,7,,
Philogene,3,7,,
J.Ramsey,3,7,,
Sanson,3,7,,
Sinisalo,1,7,,
Tielemans,3,7,,
Bertrand Traoré,3,7,,
Watkins,4,7,,
Wesley,4,7,,
Pau,2,7,,
Diaby,3,7,,
Kellyman,3,7,,
Marschall,1,7,,
Zaniolo,3,7,,
Zych,1,7,,
Lenglet,2,7,,
Proctor,1,7,,
O'Reilly,3,7,,
Wright,1,7,,
Kesler-Hayden,2,7,,
Rogers,3,7,,
Gauci,1,7,,
Anthony,3,91,,
Billing,3,91,,
Brooks,3,91,,
Christie,3,91,,
L.Cook,3,91,,
Siriki,3,91,,
Fredericks,2,91,,
Hill,2,91,,
Kelly,2,91,,
Kilkenny,3,91,,
Kluivert,3,91,,
Lowe,3,91,,
Marcondes,3,91,,
Mepham,2,91,,
Moore,4,91,,
Neto,1,91,,
O.Dango,3,91,,
Pearson,3,91,,
Randolph,1,91,,
Rothwell,3,91,,
Semenyo,4,91,,
Senesi,2,91,,
Smith,2,91,,
Solanke,4,91,,
Tavernier,3,91,,
Hamed Traorè,3,91,,
Travers,1,91,,
Zabarnyi,2,91,,
Kerkez,2,91,,
Radu,1,91,,
Greenwood,2,91,,
Aarons,2,91,,
Scott,3,91,,
Adams,3,91,,
Sinisterra,3,91,,
Faivre,3,91,,
Kinsey,2,91,,
Enes Ünal,4,91,,
Sadi,3,91,,
Ajer,2,94,,
Balcombe,1,94,,
Baptiste,3,94,,
Bech,2,94,,
Bidstrup,3,94,,
Canós,3,94,,
Collins,2,94,,
Cox,1,94,,
Damsgaard,3,94,,
Dasilva,3,94,,
Dervişoğlu,4,94,,
Flekken,1,94,,
Goode,2,94,,
Henry,2,94,,
Hickey,2,94,,
Janelt,3,94,,
Jensen,3,94,,
Lewis-Potter,3,94,,
Mbeumo,3,94,,
Mee,2,94,,
Nørgaard,3,94,,
Onyeka,3,94,,
Pinnock,2,94,,
Roerslev,2,94,,
Schade,3,94,,
Strakosha,1,94,,
Toney,4,94,,
Trevitt,3,94,,
Wissa,4,94,,
Yarmoliuk,3,94,,
Zanka,2,94,,
Maupay,4,94,,
Reguilón,2,94,,
Olakigbe,3,94,,
Brierley,3,94,,
Ghoddos,3,94,,
Kim Ji-Soo,2,94,,
Adedokun,2,94,,
Peart-Harris,3,94,,
Angelini,1,94,,
Valdimarsson,1,94,,
Fredrick,2,94,,
Adingra,3,36,,
Alzate,3,36,,
Ayari,3,36,,
Buonanotte,3,36,,
Connolly,4,36,,
Dahoud,3,36,,
Dunk,2,36,,
Enciso,3,36,,
Estupiñan,2,36,,
Ferguson,4,36,,
Gilmour,3,36,,
Gross,3,36,,
João Pedro,4,36,,
Karbownik,2,36,,
Kozłowski,3,36,,
Lallana,3,36,,
Lamptey,2,36,,
March,3,36,,
McGill,1,36,,
Milner,3,36,,
Mitoma,3,36,,
Moder,3,36,,
Sarmiento,3,36,,
Scherpen,1,36,,
Steele,1,36,,
Undav,4,36,,
Van Hecke,2,36,,
Veltman,2,36,,
Verbruggen,1,36,,
Webster,2,36,,
Welbeck,4,36,,
Zeqiri,4,36,,
Igor,2,36,,
Hinshelwood,3,36,,
Baleba,3,36,,
Ansu Fati,3,36,,
O’Mahony,4,36,,
Baker-Boaitey,3,36,,
Jackson,2,36,,
Duffus,3,36,,
Kavanagh,2,36,,
Barrington,3,36,,
Peupion,3,36,,
Barco,2,36,,
Agyei,3,90,,
Al-Dakhil,2,90,,
Bastien,3,90,,
Benson,3,90,,
Beyer,2,90,,
Brownhill,3,90,,
Churlinov,3,90,,
Cork,3,90,,
Costelloe,3,90,,
Cullen,3,90,,
Egan-Riley,2,90,,
Ekdal,2,90,,
Foster,4,90,,
Franchi,1,90,,
Gudmundsson,3,90,,
McNally,2,90,,
Muric,1,90,,
O'Shea,2,90,,
Obafemi,4,90,,
Peacock-Farrell,1,90,,
Roberts,2,90,,
Rodriguez,4,90,,
Taylor,2,90,,
Thomas,2,90,,
Twine,3,90,,
Vigouroux,1,90,,
Vitinho,2,90,,
Weghorst,4,90,,
Zaroury,3,90,,
D.D.Fofana,4,90,,
Berge,3,90,,
Amdouni,4,90,,
Trafford,1,90,,
Redmond,3,90,,
Koleosho,3,90,,
Bruun Larsen,3,90,,
Dodgson,2,90,,
Odobert,3,90,,
Delcroix,2,90,,
A.Ramsey,3,90,,
Massengo,3,90,,
M.Trésor,3,90,,
Assignon,2,90,,
Estève,2,90,,
Caicedo,3,8,,
Sanchez,1,8,,
Ampadu,2,8,,
Andrey,3,8,,
Arrizabalaga,1,8,,
Aubameyang,4,8,,
Azpilicueta,2,8,,
Baba,2,8,,
B.Badiashile,2,8,,
Bettinelli,1,8,,
Chalobah,2,8,,
Chilwell,2,8,,
Chukwuemeka,3,8,,
Colwill,2,8,,
Cucurella,2,8,,
Enzo,3,8,,
W.Fofana,2,8,,
Gallagher,3,8,,
Gusto,2,8,,
James,2,8,,
Lukaku,4,8,,
Madueke,3,8,,
Mudryk,3,8,,
N.Jackson,4,8,,
Nkunku,4,8,,
Pulisic,3,8,,
M.Sarr,2,8,,
Slonina,1,8,,
Sterling,3,8,,
T.Silva,2,8,,
Ziyech,3,8,,
Palmer,3,8,,
Ângelo,3,8,,
Maatsen,3,8,,
Disasi,2,8,,
Ugochukwu,3,8,,
Burstow,4,8,,
Bergström,1,8,,
Lavia,3,8,,
Humphreys,2,8,,
Deivid,4,8,,
Beach,1,8,,
Diego Moreira,3,8,,
Petrović,1,8,,
Gilchrist,2,8,,
Stutter,4,8,,
Matos,3,8,,
Brooking,2,8,,
Castledine,3,8,,
Casadei,3,8,,
Samuels-Smith,2,8,,
Harrison,3,8,,
Tauriainen,3,8,,
Holding,2,31,,
Ahamada,3,31,,
Andersen,2,31,,
J.Ayew,3,31,,
Clyne,2,31,,
C.Doucouré,3,31,,
Ebiowei,3,31,,
Edouard,4,31,,
Eze,3,31,,
Guaita,1,31,,
Guéhi,2,31,,
Hughes,3,31,,
Johnstone,1,31,,
Lerma,3,31,,
Mateta,4,31,,
Matthews,1,31,,
Mitchell,2,31,,
O'Brien,2,31,,
Olise,3,31,,
Plange,4,31,,
C.Richards,2,31,,
Riedewald,3,31,,
Schlupp,3,31,,
Tomkins,2,31,,
Ward,2,31,,
Whitworth,1,31,,
Henderson,1,31,,
Matheus França,3,31,,
Rak-Sakyi,3,31,,
Gordon,4,31,,
Ola-Adebomi,4,31,,
Ozoh,3,31,,
Raymond,3,31,,
Adaramola,2,31,,
Muñoz,2,31,,
