id,name,team,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37,GW 38
2,Cédric,Arsenal,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,0.0,3.8,3.8,3.8,4.0,4.0,4.0,4.0,4.0,4.0
3,M.Elneny,Arsenal,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0.0,4.4,4.4,4.4,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,5.0,5.0
4,Fábio Vieira,Arsenal,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,0.0,5.4,5.4,5.4,5.0,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432
5,Gabriel,Arsenal,5.0,5.0,4.9,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,5.0,5.0,5.0,5.1,5.2,5.3,5.3,0.0,5.3,5.3,5.3,4.800000190734863,5.199999809265137,5.099999904632568,5.099999904632568,5.199999809265137,5.099999904632568
6,Havertz,Arsenal,7.5,7.5,7.4,7.3,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0.0,7.2,7.2,7.3,6.599999904632568,6.5,6.0,6.099999904632568,5.900000095367432,6.199999809265137
8,G.Jesus,Arsenal,8.0,7.9,7.9,7.9,7.9,7.9,8.0,8.0,7.9,7.9,7.8,7.8,7.8,7.8,7.9,7.9,7.9,8.0,8.0,8.0,8.0,8.0,8.0,7.9,7.8,7.8,7.8,7.8,0.0,7.8,7.7,7.7,6.0,6.099999904632568,6.0,6.0,6.099999904632568,6.0
9,Jorginho,Arsenal,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0.0,5.3,5.3,5.3,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432
10,Kiwior,Arsenal,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,0.0,4.4,4.4,4.4,4.300000190734863,4.300000190734863,4.300000190734863,4.199999809265137,4.199999809265137,4.199999809265137
12,Martinelli,Arsenal,8.0,8.0,8.0,8.0,7.9,7.8,7.7,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.8,7.8,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,0.0,7.7,7.6,7.6,6.5,6.5,6.5,6.5,6.5,6.5
13,Nketiah,Arsenal,5.5,5.5,5.6,5.6,5.6,5.6,5.5,5.5,5.5,5.5,5.6,5.7,5.7,5.7,5.6,5.5,5.4,5.4,5.4,5.3,5.3,5.2,5.2,5.2,5.1,5.1,5.1,5.1,0.0,5.1,5.1,5.1,6.099999904632568,6.099999904632568,6.0,6.0,6.0,6.0
